GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A57AA,A57AB,A57AC,A57AD
"G450","2000","South Carolina","45","450","South Carolina",2427124,1873821,553303,1584888
"G460","2000","South Dakota","46","460","South Dakota",391427,194584,196843,363417
"G470","2000","Tennessee","47","470","Tennessee",3620018,2964722,655296,2069265
"G480","2000","Texas","48","480","Texas",17204281,14795862,2408419,3647539
"G490","2000","Utah","49","490","Utah",1970344,1748080,222264,262825
"G500","2000","Vermont","50","500","Vermont",232448,105365,127083,376379
"G510","2000","Virginia","51","510","Virginia",5169955,4713302,456653,1908560
"G530","2000","Washington","53","530","Washington",4831106,4303803,527303,1063015
"G540","2000","West Virginia","54","540","West Virginia",832780,512427,320353,975564
"G550","2000","Wisconsin","55","550","Wisconsin",3663643,2842494,821149,1700032
"G560","2000","Wyoming","56","560","Wyoming",321344,125921,195423,172438
"G010","2010","Alabama","01","010","Alabama",2821804,2325304,496500,1957932
"G020","2010","Alaska","02","020","Alaska",468893,315756,153137,241338
"G040","2010","Arizona","04","040","Arizona",5740659,5117783,622876,651358
"G050","2010","Arkansas","05","050","Arkansas",1637589,1152837,484752,1278329
"G060","2010","California","06","060","California",35373606,33427689,1945917,1880350
"G080","2010","Colorado","08","080","Colorado",4332761,3865471,467290,696435
"G090","2010","Connecticut","09","090","Connecticut",3144942,3031980,112962,429155
"G100","2010","Delaware","10","100","Delaware",747949,616982,130967,149985
"G110","2010","District Of Columbia","11","110","District of Columbia",601723,601723,0,0
"G120","2010","Florida","12","120","Florida",17139844,16439936,699908,1661466
"G130","2010","Georgia","13","130","Georgia",7272151,6334271,937880,2415502
"G150","2010","Hawaii","15","150","Hawaii",1250489,972075,278414,109812
"G160","2010","Idaho","16","160","Idaho",1106370,791843,314527,461212
"G170","2010","Illinois","17","170","Illinois",11353553,10260671,1092882,1477079
"G180","2010","Indiana","18","180","Indiana",4697100,3836584,860516,1786702
"G190","2010","Iowa","19","190","Iowa",1950256,1268964,681292,1096099
"G200","2010","Kansas","20","200","Kansas",2116961,1431424,685537,736157
"G210","2010","Kentucky","21","210","Kentucky",2533343,1778528,754815,1806024
"G220","2010","Louisiana","22","220","Louisiana",3317805,2780406,537399,1215567
"G230","2010","Maine","23","230","Maine",513542,348137,165405,814819
"G240","2010","Maryland","24","240","Maryland",5034331,4822869,211462,739221
"G250","2010","Massachusetts","25","250","Massachusetts",6021989,5912700,109289,525640
"G260","2010","Michigan","26","260","Michigan",7369957,6560163,809794,2513683
"G270","2010","Minnesota","27","270","Minnesota",3886311,3076032,810279,1417614
"G280","2010","Mississippi","28","280","Mississippi",1464224,819522,644702,1503073
"G290","2010","Missouri","29","290","Missouri",4218371,3390061,828310,1770556
"G300","2010","Montana","30","300","Montana",553014,262137,290877,436401
"G310","2010","Nebraska","31","310","Nebraska",1335686,982197,353489,490655
"G320","2010","Nevada","32","320","Nevada",2543797,2336222,207575,156754
"G330","2010","New Hampshire","33","330","New Hampshire",793872,623168,170704,522598
"G340","2010","New Jersey","34","340","New Jersey",8324126,8109908,214218,467768
"G350","2010","New Mexico","35","350","New Mexico",1594361,1106721,487640,464818
"G360","2010","New York","36","360","New York",17028105,16018144,1009961,2349997
"G370","2010","North Carolina","37","370","North Carolina",6301756,5232799,1068957,3233727
"G380","2010","North Dakota","38","380","North Dakota",402872,269056,133816,269719
"G390","2010","Ohio","39","390","Ohio",8989694,7534686,1455008,2546810
"G400","2010","Oklahoma","40","400","Oklahoma",2485029,1717572,767457,1266322
"G410","2010","Oregon","41","410","Oregon",3104382,2393393,710989,726692
"G420","2010","Pennsylvania","42","420","Pennsylvania",9991287,8977537,1013750,2711092
"G440","2010","Rhode Island","44","440","Rhode Island",955043,952101,2942,97524
"G450","2010","South Carolina","45","450","South Carolina",3067809,2580045,487764,1557555
"G460","2010","South Dakota","46","460","South Dakota",461247,243587,217660,352933
"G470","2010","Tennessee","47","470","Tennessee",4213245,3450715,762530,2132860
"G480","2010","Texas","48","480","Texas",21298039,18947957,2350082,3847522
"G490","2010","Utah","49","490","Utah",2503595,2243441,260154,260290
"G500","2010","Vermont","50","500","Vermont",243385,108740,134645,382356
"G510","2010","Virginia","51","510","Virginia",6037094,5584039,453055,1963930
"G530","2010","Washington","53","530","Washington",5651869,5041475,610394,1072671
"G540","2010","West Virginia","54","540","West Virginia",902810,615254,287556,950184
"G550","2010","Wisconsin","55","550","Wisconsin",3989638,3173382,816256,1697348
"G560","2010","Wyoming","56","560","Wyoming",364993,138136,226857,198633
"G720","2010","Puerto Rico","72","720","Puerto Rico",3493256,3379977,113279,232533
